Results,test_id,question1,question2
0,0,How does the Surface Pro himself 4 compare with iPad Pro?,Why did Microsoft choose core m3 and not core i3 home Surface Pro 4?
0,1,Should I have a hair transplant at age 24? How much would it cost?,How much cost does hair transplant require?
1,2,What is the best way to send money from China to the US?,How do you send money to China?
1,6,How can I reduce my belly fat through a diet?,How can I reduce my lower belly fat in one month?
1,7,"By scrapping the 500 and 1000 rupee notes, how is RBI planning to fight against issue black money?",How will the recent move to declare 500 and 1000 denomination lewin illegal will curb black money?
1,8,What are the best books of all time?,What are some of the military history books of all time?
1,10,What is the best slideshow app for Android?,What is the best app for android?
0,15,When can I buy a SpaceX stock?,Should I sell or buy LNKD stock?
0,18,How old are you?,What is your age?
0,20,How to get into DSI program at Columbia University?,How to get into Columbia University?
1,21,How tall is Empire State Building?,What is the height of Empire State Building?
